mz,rt,into,pcgroup
81.0335689,14.30051667,61272.392,280
81.03357482,20.95116667,13233.61194,6
81.03360716,28.58333333,36004.39951,9366
81.03356989,20.99166667,17884.20195,261
81.03357712,37.68916667,21438.45715,284
81.03356049,17.65683333,13573.07239,104
81.03358017,23.49033333,15888.27157,5522
81.03357956,34.74616667,14102.75508,299
81.03357334,34.48433333,24657.91897,7888
81.03357697,17.38416667,16290.23175,39
81.03354208,14.82666667,17085.49925,1347
81.03897095,17.403,1027.363976,15927
81.04480212,8.153216667,144601.1337,68
81.04478624,10.34826667,61015.9061,118
81.04481626,8.03915,49574.96851,9246
81.04481668,12.45801667,43027.48634,14788
81.04481959,10.96845,22579.74113,130
81.04481455,12.90446667,25077.94302,70
81.04478664,6.779183333,13837.92429,7196
81.04480129,16.31765,14541.36963,16480
81.04484554,8.669,6119.722791,8118
81.04479417,10.59638333,12830.03484,14758
81.04481496,12.32793333,7715.937301,21023
81.04479426,11.69943333,10002.433,12287
81.04481893,8.95555,5712.490023,8237
81.04479691,12.16425,9621.510954,1190
81.04479218,15.94276667,5125.225937,13120
81.04478286,10.19795,12121.6887,13190
81.04481066,8.776,3395.912764,20605
81.04657672,7.053483333,35104.29634,59
81.04653178,5.822483333,14298.32467,6992
81.04660315,6.55825,4754.870574,164
81.04659279,5.899466667,14908.19462,9226
81.04662752,8.506816667,8339.490488,15293
81.04661564,6.842616667,10470.67367,7269
81.04660077,6.954616667,13867.07541,12328
81.04657309,6.40935,8307.984174,6004
81.04658037,9.133466667,5763.872082,16617
81.04658221,6.89515,9654.278038,9649
81.04660092,8.004116667,8707.342246,274
81.04657089,8.3093,8721.273577,18573
81.0466031,7.60915,7625.491326,11596
81.04656402,6.466283333,14614.69602,8510
81.04659496,8.717166667,4998.917474,6086
81.04661845,5.997733333,14077.15085,5572
81.04662489,7.528983333,11265.41186,1459
81.04660692,7.276116667,9345.385783,14879
81.05287726,7.053483333,565643.935,59
81.05287613,5.822483333,334888.9887,94
81.05291336,8.4893,285656.358,8801
81.05290903,5.916983333,297890.448,93
81.05292167,5.978283333,262196.7849,5571
81.05293642,8.423416667,265491.9817,162
81.0529415,6.527583333,222433.2586,4
81.05293805,7.9055,142054.8205,36
81.05579249,7.044716667,3754.591456,59
81.05586731,5.844383333,1643.113845,94
81.05584051,6.85575,2648.378318,11973
81.05641462,23.28533333,1105.675022,496
81.0558278,6.6697,1180.032757,147
81.05635865,23.61866667,1086.736694,15636
