mz,rt,into,pcgroup
142.1720939,8.45905,239816.2078,1
142.2104194,8.459066667,1020276.758,1
142.3120993,8.45905,613893.3981,1
142.5713429,8.463241667,2581656.324,1
142.8804513,8.45905,280703.0807,1
142.9342136,8.461225,1172902.738,1
143.0393593,8.463408333,198044.2624,1
143.0727141,8.45905,517212.9085,1
143.0760016,8.461225,821321.6959,1
143.1017947,8.4611,4704521.037,1
143.1043043,8.459083333,111307569.6,1
143.1076537,8.45905,163785557.2,1
143.1359923,8.45905,479402.2386,1
143.1393108,8.45905,890367.9481,1
144.0693846,8.454725,232503.6749,1
144.083671,8.459025,598487.5107,1
144.1013436,8.459016667,76669356.26,1
144.1073056,8.459016667,7335957.838,1
144.1110984,8.45905,4500898.12,1
144.1332905,8.454575,228620.2553,1
145.0985281,8.452533333,52312.36091,1
145.1107932,8.454516667,67787.79101,1
147.0325924,8.463116667,1062156.653,1
147.0655421,8.463241667,191292600.6,1
147.0984623,8.45905,1039833.752,1
148.0650964,8.45905,18178265.66,1
148.0687904,8.45905,8975335.195,1
149.0112185,8.45905,384356.3169,1
149.0448065,8.45905,98470559.81,1
149.0623207,8.45905,11483401.67,1
149.0645409,8.467475,100656.7349,1
149.0683563,8.45905,653943.3835,1
149.0783985,8.45905,375838.1511,1
150.0443307,8.458983333,9023911.92,1
150.048049,8.459033333,3603095.686,1
150.0619033,8.459016667,351862.9392,1
150.065767,8.458983333,373074.5358,1
151.024056,8.45905,1358115.633,1
151.0415613,8.45465,4454415.624,1
151.041612,8.454716667,4290549.35,1
151.0474918,8.454666667,54820.99274,1
151.0486469,8.45465,86026.65858,1
152.0411665,8.454666667,48664.92638,1
152.0448633,8.461083333,37058.20133,1
152.0525705,8.459066667,432618.1931,1
154.068125,8.45905,1623236.376,1
156.0473689,8.458883333,258632.2674,1
158.0451131,8.463375,980531.9693,1
166.0681595,8.454683333,391967.146,1
167.0553192,8.463433333,1173992.261,1
168.0838047,8.459016667,583302.2641,1
170.0630746,8.463241667,14336727.74,1
170.0996368,8.454641667,23020.98064,1
171.0626278,8.459041667,414814.7699,1
171.0663763,8.45905,945665.1447,1
172.0606576,8.459066667,1325640.134,1
172.0787233,8.454783333,288080.5551,1
174.040052,8.458733333,159669.8896,1
175.060394,8.463425,8428009.926,1
176.0599823,8.45905,617332.0258,1
176.0637541,8.45905,292386.7195,1
177.057266,8.463383333,265779.2568,1
182.0450415,8.45905,251196.8746,1
186.0943474,8.458983333,180135.5034,1
188.0919665,8.45905,1423081.902,1
190.0837708,8.454666667,13205.234,1
193.070935,8.463116667,255407.8977,1
198.0763893,8.45905,508814.9934,1
200.0557326,8.459033333,36430.82017,1
200.0919708,8.463116667,238940.5347,1
207.0322372,8.46785,3331762.089,1
214.1076734,8.45905,1225085.571,1
216.0647208,8.461208333,560729.9795,1
216.0870203,8.463116667,1312455.856,1
216.1233652,8.463375,175403912.8,1
216.1822796,8.461233333,545516.2773,1
217.1229405,8.463116667,15137020.32,1
217.1266281,8.459083333,14645039.19,1
218.1201393,8.45905,10198856.13,1
218.1262768,8.45905,1264924.29,1
218.1299651,8.459016667,361224.2895,1
219.1198298,8.459033333,258361.1372,1
219.1234908,8.45905,729902.7941,1
230.1026706,8.463433333,56281.28157,1
230.1390174,8.463383333,2847556.027,1
231.1385838,8.45905,109039.2671,1
231.1422655,8.454666667,81280.20002,1
232.1359483,8.454633333,21952.48137,1
240.0869597,8.454725,954630.5587,1
242.1026289,8.45905,1640321.818,1
244.1183016,8.463383333,8266279.002,1
245.1178983,8.45905,539878.4376,1
245.1216468,8.459066667,635834.1805,1
246.1151275,8.459016667,298690.4235,1
257.1261546,8.459016667,586395.3524,1
258.1340118,8.459066667,583319.0229,1
259.1417977,8.461233333,161066.5917,1
51.14893068,28.78991667,27087.88299,2
52.61230896,28.80091667,132871.1836,2
53.03860575,28.78766667,21611.53959,2
55.01785825,28.79216667,75002.14994,2
55.05425093,28.79666667,181329.8407,2
58.02323311,28.79216667,169622.3618,2
59.03115375,28.7965,1723885.374,2
61.01042207,28.79433333,168371.594,2
69.03347613,28.79658333,703198.6498,2
72.03895273,28.7965,273872.1041,2
73.03526669,28.7965,846733.6139,2
73.05132696,28.78316667,56635.54757,2
73.05833331,28.7965,860721.6031,2
73.21866988,28.78016667,32233.32138,2
75.04966804,28.78333333,23024.68021,2
76.02561839,28.79658333,429637.4376,2
76.02940492,28.79791667,91297.76633,2
77.00529481,28.7965,482881.9656,2
77.02286849,28.79216667,233629.6249,2
81.03347639,28.7965,1671996.088,2
83.04911362,28.79658333,131424.9371,2
85.04676914,28.79216667,205428.4525,2
87.02604569,28.79666667,77496.63752,2
87.06243373,28.779,49320.05623,2
89.04166803,28.79658333,2105949.178,2
91.02096161,28.79216667,33586.80298,2
91.05734095,28.7965,1790781.415,2
93.03661166,28.79516667,121610.5969,2
99.02601968,28.79866667,314180.4743,2
101.0053093,28.80083333,592047.5523,2
101.0416931,28.7965,3145212.755,2
102.0412404,28.78333333,46226.45155,2
103.0029426,28.7965,87031.53283,2
103.0209291,28.7965,666310.2952,2
103.0384351,28.79216667,50815.4993,2
103.0573322,28.7965,16731235.98,2
104.0568523,28.7965,664789.2491,2
104.0606633,28.7965,593677.8478,2
105.0541782,28.7965,409497.848,2
109.0283658,28.7965,434251.7776,2
111.0260125,28.7965,555808.2707,2
111.0624339,28.80025,17639.32923,2
113.0416374,28.7965,854293.336,2
115.0029489,28.78916667,276980.8194,2
115.0209411,28.79666667,176256.3084,2
115.0573128,28.79658333,631102.927,2
116.0287431,28.7965,1065186.046,2
116.0651358,28.7965,641358.5796,2
117.0185473,28.79875,616683.736,2
117.036576,28.7965,6554159.144,2
117.072959,28.79216667,353269.6849,2
118.0361225,28.79641667,160450.6255,2
118.0399187,28.79216667,129614.7443,2
118.9978824,28.79666667,463374.1433,2
119.0340235,28.80083333,85198.02224,2
119.0522692,28.7965,150257.6699,2
125.0416718,28.79433333,120269.3871,2
127.0573215,28.7965,655434.0742,2
128.065151,28.79933333,44548.04362,2
129.0365945,28.7965,10624144.48,2
129.0458799,28.7965,96613.77527,2
129.0729781,28.7965,34078367.49,2
